,date,state,city_or_county,address,n_killed,n_injured,latitude,longitude,total,full_address,month_name,month_number
2034,2013-01-01,Pennsylvania,Mckeesport,1506 Versailles Avenue and Coursin Street,0,4,40.3467,-79.8559,4,"1506 Versailles Avenue and Coursin Street, Mckeesport, Pennsylvania",January,1
2033,2013-01-01,California,Hawthorne,13500 block of Cerise Avenue,1,3,33.909,-118.333,4,"13500 block of Cerise Avenue, Hawthorne, California",January,1
2032,2013-01-01,Ohio,Lorain,1776 East 28th Street,1,3,41.4455,-82.1377,4,"1776 East 28th Street, Lorain, Ohio",January,1
2031,2013-01-05,Colorado,Aurora,16000 block of East Ithaca Place,4,0,39.6518,-104.802,4,"16000 block of East Ithaca Place, Aurora, Colorado",January,1
2030,2013-01-07,North Carolina,Greensboro,307 Mourning Dove Terrace,2,2,36.114,-79.9569,4,"307 Mourning Dove Terrace, Greensboro, North Carolina",January,1
2029,2013-01-07,Oklahoma,Tulsa,6000 block of South Owasso,4,0,36.2405,-95.9768,4,"6000 block of South Owasso, Tulsa, Oklahoma",January,1
2028,2013-01-19,New Mexico,Albuquerque,2806 Long Lane,5,0,34.9791,-106.716,5,"2806 Long Lane, Albuquerque, New Mexico",January,1
2027,2013-01-21,Louisiana,New Orleans,LaSalle Street and Martin Luther King Jr. Boulevard,0,5,29.9435,-90.0836,5,"LaSalle Street and Martin Luther King Jr. Boulevard, New Orleans, Louisiana",January,1
2026,2013-01-21,California,Brentwood,1100 block of Breton Drive,0,4,37.9656,-121.718,4,"1100 block of Breton Drive, Brentwood, California",January,1
2025,2013-01-23,Maryland,Baltimore,1500 block of W. Fayette St.,1,6,39.2899,-76.6412,7,"1500 block of W. Fayette St., Baltimore, Maryland",January,1
2024,2013-01-23,Tennessee,Chattanooga,1501 Dodds Ave,1,3,35.0221,-85.2697,4,"1501 Dodds Ave, Chattanooga, Tennessee",January,1
2023,2013-01-25,Missouri,Saint Louis,W Florissant Ave and Riverview Blvd,1,3,38.7067,-90.2494,4,"W Florissant Ave and Riverview Blvd, Saint Louis, Missouri",January,1
2022,2013-01-26,District of Columbia,Washington,2403 Benning Road Northeast,0,5,38.8978,-76.9717,5,"2403 Benning Road Northeast, Washington, District of Columbia",January,1
2021,2013-01-26,Ohio,Springfield,601 West Main Street,1,3,39.9252,-83.8218,4,"601 West Main Street, Springfield, Ohio",January,1
2020,2013-01-26,Louisiana,Charenton,1000 block of Flat Town Road,2,3,29.8816,-91.5251,5,"1000 block of Flat Town Road, Charenton, Louisiana",January,1
2019,2013-02-02,Tennessee,Memphis,2514 Mount Moriah,0,5,35.0803,-89.8871,5,"2514 Mount Moriah, Memphis, Tennessee",February,2
2018,2013-02-03,California,Yuba (county),5800 block of Poplar Avenue,1,3,39.1236,-121.583,4,"5800 block of Poplar Avenue, Yuba (county), California",February,2
2017,2013-02-07,Illinois,Chicago,2500 block of East 75th Street,0,4,41.7592,-87.5628,4,"2500 block of East 75th Street, Chicago, Illinois",February,2
2016,2013-02-09,Louisiana,New Orleans,400 block of Bourbon Street,0,4,29.9563,-90.0676,4,"400 block of Bourbon Street, New Orleans, Louisiana",February,2
2015,2013-02-11,California,Vallejo,800 block of Humboldt Street,1,4,38.1072,-122.228,5,"800 block of Humboldt Street, Vallejo, California",February,2
2014,2013-02-11,Delaware,Wilmington,500 North King Street,3,2,39.7407,-75.5499,5,"500 North King Street, Wilmington, Delaware",February,2
2013,2013-02-12,Utah,Midvale,8286 Adams Street and 450 West Street,4,1,40.6008,-111.903,5,"8286 Adams Street and 450 West Street, Midvale, Utah",February,2
2012,2013-02-19,California,Orange (county),Katella Avenue,4,3,33.8031,-117.943,7,"Katella Avenue, Orange (county), California",February,2
2011,2013-02-21,Oklahoma,Tulsa,1200 block of North 89th East Avenue,1,3,36.1722,-95.8778,4,"1200 block of North 89th East Avenue, Tulsa, Oklahoma",February,2
2010,2013-02-22,Michigan,Grand Rapids,1447 Grandville Ave. SW,0,4,42.9371,-85.6853,4,"1447 Grandville Ave. SW, Grand Rapids, Michigan",February,2
2009,2013-02-23,California,Lancaster,43145 Business Center Parkway,0,4,34.6666,-118.131,4,"43145 Business Center Parkway, Lancaster, California",February,2
2008,2013-02-24,Georgia,Macon,2800 block of Mercer University Drive,0,8,32.826,-83.6704,8,"2800 block of Mercer University Drive, Macon, Georgia",February,2
2007,2013-03-02,Louisiana,Shreveport,7000 block of Burlingame Boulevard,1,3,32.442,-93.7726,4,"7000 block of Burlingame Boulevard, Shreveport, Louisiana",March,3
2006,2013-03-03,Georgia,Moultrie,224 Second Street Northwest,2,2,31.1824,-83.7912,4,"224 Second Street Northwest, Moultrie, Georgia",March,3
2005,2013-03-03,Michigan,Saginaw (county),4030 Dixie Hwy,0,4,43.3944,-83.9082,4,"4030 Dixie Hwy, Saginaw (county), Michigan",March,3
2004,2013-03-04,California,Los Banos,800 block of La Mesa Lane,1,3,37.0857,-120.828,4,"800 block of La Mesa Lane, Los Banos, California",March,3
2003,2013-03-05,Indiana,Indianapolis,1800 block of Edinburge Square,1,3,39.7927,-86.0328,4,"1800 block of Edinburge Square, Indianapolis, Indiana",March,3
2002,2013-03-07,Mississippi,Jackson,2900 block of Greenwood Avenue,2,2,32.2649,-90.2141,4,"2900 block of Greenwood Avenue, Jackson, Mississippi",March,3
2001,2013-03-10,Missouri,Kansas City,9331 Hillcrest Rd,0,5,38.955,-94.5211,5,"9331 Hillcrest Rd, Kansas City, Missouri",March,3
2000,2013-03-11,District of Columbia,Washington,1200 North Capitol Street,0,13,38.9062,-77.0099,13,"1200 North Capitol Street, Washington, District of Columbia",March,3
1999,2013-03-13,California,Oceanside,504 Calle Montecito,2,2,33.2498,-117.309,4,"504 Calle Montecito, Oceanside, California",March,3
1998,2013-03-13,New York,Mohawk,17 W Main St,6,2,43.011,-75.0058,8,"17 W Main St, Mohawk, New York",March,3
1997,2013-03-14,California,Modesto,1400 block of Western Way,0,4,37.626,-121.011,4,"1400 block of Western Way, Modesto, California",March,3
1996,2013-03-16,California,Galt,Dover Drive,0,7,38.2436,-121.312,7,"Dover Drive, Galt, California",March,3
1995,2013-03-17,California,Stockton,1800 block of East Sonora Street,2,3,37.9531,-121.266,5,"1800 block of East Sonora Street, Stockton, California",March,3
1994,2013-03-17,Florida,Belle Glade,Northwest 16th Street and Northwest Avenue L,0,5,26.6968,-80.6837,5,"Northwest 16th Street and Northwest Avenue L, Belle Glade, Florida",March,3
1993,2013-03-21,Illinois,Chicago,West 87th Street and Ashland Avenue,0,7,41.7358,-87.6631,7,"West 87th Street and Ashland Avenue, Chicago, Illinois",March,3
1992,2013-03-21,Missouri,Kansas City,4900 block of Brookside Blvd,1,3,39.0383,-94.5849,4,"4900 block of Brookside Blvd, Kansas City, Missouri",March,3
1991,2013-03-22,New York,Brooklyn,2703 W. 33rd Street,1,3,40.5803,-74.0005,4,"2703 W. 33rd Street, Brooklyn, New York",March,3
1990,2013-03-30,California,Merced (county),9200 block of Westside Boulevard,3,2,37.3603,-120.654,5,"9200 block of Westside Boulevard, Merced (county), California",March,3
1989,2013-03-31,Washington,Auburn,2802 Auburn Way North,3,2,47.3149,-122.224,5,"2802 Auburn Way North, Auburn, Washington",March,3
1988,2013-04-06,South Carolina,Greenwood,Tabor Street,1,4,34.1868,-82.1638,5,"Tabor Street, Greenwood, South Carolina",April,4
1987,2013-04-07,New York,New York (Manhattan),900 Garden Way,1,3,40.9018,-73.8511,4,"900 Garden Way, New York (Manhattan), New York",April,4
1986,2013-04-07,California,Long Beach,300 block of East Home Street,1,3,33.8479,-118.19,4,"300 block of East Home Street, Long Beach, California",April,4
1985,2013-04-09,Pennsylvania,Philadelphia,Somerset Street and Lee Street,1,3,39.9924,-75.13,4,"Somerset Street and Lee Street, Philadelphia, Pennsylvania",April,4
1984,2013-04-10,California,Vallejo,1800 block of Mini Drive,0,4,38.1519,-122.261,4,"1800 block of Mini Drive, Vallejo, California",April,4
1983,2013-04-14,Arizona,Phoenix,12400 North 25th Avenue,2,4,33.5985,-112.113,6,"12400 North 25th Avenue, Phoenix, Arizona",April,4
1982,2013-04-14,Kentucky,Lexington,750 East New Circle Rd,1,4,38.0485,-84.453,5,"750 East New Circle Rd, Lexington, Kentucky",April,4
1981,2013-04-18,Ohio,Akron,Kimlyn Circle,4,0,41.1102,-81.4771,4,"Kimlyn Circle, Akron, Ohio",April,4
1980,2013-04-21,Washington,Federal Way,33300 block of 18th Lane South,5,0,47.303,-122.31,5,"33300 block of 18th Lane South, Federal Way, Washington",April,4
1979,2013-04-22,Illinois,Chicago (Englewood),5700 block of South Lowe Avenue,0,4,41.7906,-87.6418,4,"5700 block of South Lowe Avenue, Chicago (Englewood), Illinois",April,4
1978,2013-04-22,Louisiana,Harvey,2300 block of Lapalco Boulevard,0,5,29.8736,-90.0568,5,"2300 block of Lapalco Boulevard, Harvey, Louisiana",April,4
1977,2013-04-24,Illinois,Manchester,East Street,6,1,39.5417,-90.3301,7,"East Street, Manchester, Illinois",April,4
1976,2013-04-25,Ohio,Oberlin,500 block of West College Street,0,4,41.2927,-82.2347,4,"500 block of West College Street, Oberlin, Ohio",April,4
1975,2013-04-27,Florida,Williston,County Road 318,1,3,29.4035,-82.3647,4,"County Road 318, Williston, Florida",April,4
1974,2013-04-28,Pennsylvania,Chester,Rose and Upland Street,1,3,39.8564,-75.3587,4,"Rose and Upland Street, Chester, Pennsylvania",April,4
1973,2013-04-28,Tennessee,Jackson,438 East Main Street,2,2,35.6141,-88.815,4,"438 East Main Street, Jackson, Tennessee",April,4
1972,2013-04-28,North Carolina,Charlotte,William Reynolds Drive,0,5,35.2479,-80.726,5,"William Reynolds Drive, Charlotte, North Carolina",April,4
1971,2013-05-02,New Jersey,Newark,804 S. 16th St,0,5,40.7268,-74.2116,5,"804 S. 16th St, Newark, New Jersey",May,5
1970,2013-05-04,North Carolina,Smithfield,150 South Equity Drive,0,4,35.5076,-78.3221,4,"150 South Equity Drive, Smithfield, North Carolina",May,5
1969,2013-05-05,California,Palo Alto,Bay Road and University Avenue,0,5,37.4717,-122.14,5,"Bay Road and University Avenue, Palo Alto, California",May,5
1968,2013-05-06,Pennsylvania,Johnstown,Horner and Messenger streets,0,4,40.3091,-78.9124,4,"Horner and Messenger streets, Johnstown, Pennsylvania",May,5
1967,2013-05-10,California,Los Angeles,1600 block of West 205th Street,3,1,33.8447,-118.307,4,"1600 block of West 205th Street, Los Angeles, California",May,5
1966,2013-05-11,Indiana,Columbus,E Main Cross St,5,0,39.1149,-85.8929,5,"E Main Cross St, Columbus, Indiana",May,5
1965,2013-05-11,Pennsylvania,Philadelphia,21st Street and Medary Avenue,0,4,40.0505,-75.1554,4,"21st Street and Medary Avenue, Philadelphia, Pennsylvania",May,5
1964,2013-05-11,New Jersey,Jersey City,Fremont Street,0,4,40.7207,-74.0593,4,"Fremont Street, Jersey City, New Jersey",May,5
1963,2013-05-12,Arizona,Apache Junction,3600 block of East Apache Trail,0,5,33.4473,-111.503,5,"3600 block of East Apache Trail, Apache Junction, Arizona",May,5
1962,2013-05-12,Louisiana,New Orleans,Frenchmen Street,0,19,29.9861,-90.0595,19,"Frenchmen Street, New Orleans, Louisiana",May,5
1961,2013-05-13,Ohio,Cincinnati,Kings Run Road,0,4,39.1788,-84.5124,4,"Kings Run Road, Cincinnati, Ohio",May,5
1960,2013-05-15,Michigan,Detroit,9000 block of Carlin,1,4,42.3613,-83.1787,5,"9000 block of Carlin, Detroit, Michigan",May,5
1959,2013-05-16,Pennsylvania,Philadelphia,2600 block of Daggett Street,0,4,39.9204,-75.2296,4,"2600 block of Daggett Street, Philadelphia, Pennsylvania",May,5
1958,2013-05-18,Virginia,Victoria,2073 Pleasant Oak Rd,0,4,37.0177,-78.1562,4,"2073 Pleasant Oak Rd, Victoria, Virginia",May,5
1957,2013-05-19,Tennessee,Memphis,2281 Ketchum Rd,2,2,35.079,-89.988,4,"2281 Ketchum Rd, Memphis, Tennessee",May,5
1956,2013-05-20,Illinois,Chicago,5200 block of West Iowa Street,0,4,41.8968,-87.7556,4,"5200 block of West Iowa Street, Chicago, Illinois",May,5
1955,2013-05-23,Tennessee,Bean Station,1034 Main Street,2,2,36.3474,-83.2849,4,"1034 Main Street, Bean Station, Tennessee",May,5
1954,2013-05-24,California,Bakersfield,3700 block of Columbus Street,2,2,35.3998,-118.952,4,"3700 block of Columbus Street, Bakersfield, California",May,5
1953,2013-05-25,Michigan,Flint,1100 block of Paterson,1,3,43.034,-83.7182,4,"1100 block of Paterson, Flint, Michigan",May,5
1952,2013-05-25,Virginia,Hampton,1900 block of Coliseum Drive,1,4,37.0377,-76.3859,5,"1900 block of Coliseum Drive, Hampton, Virginia",May,5
1951,2013-05-28,Tennessee,Memphis,2850 Brewer Avenue,1,3,35.0848,-89.9678,4,"2850 Brewer Avenue, Memphis, Tennessee",May,5
1950,2013-05-31,Georgia,Atlanta,1000 block of Fair Street,0,4,33.749,-84.4211,4,"1000 block of Fair Street, Atlanta, Georgia",May,5
1949,2013-06-01,Wisconsin,Milwaukee,4126 N Teutonia Ave,0,4,43.092,-87.94,4,"4126 N Teutonia Ave, Milwaukee, Wisconsin",June,6
1948,2013-06-01,California,Vallejo,1st block of Linfield Drive,2,2,38.1472,-122.24,4,"1st block of Linfield Drive, Vallejo, California",June,6
1947,2013-06-02,Indiana,Indianapolis,1913 East 46th Street,0,4,39.8401,-86.1289,4,"1913 East 46th Street, Indianapolis, Indiana",June,6
1946,2013-06-02,Virginia,Virginia Beach,4000 block of Roebling Lane,0,7,36.8459,-76.1171,7,"4000 block of Roebling Lane, Virginia Beach, Virginia",June,6
1945,2013-06-02,Georgia,Lagrange,Union Street,0,7,33.0354,-85.0244,7,"Union Street, Lagrange, Georgia",June,6
1944,2013-06-07,California,Santa Monica,2036 Yorkshire Ave,6,1,34.026,-118.461,7,"2036 Yorkshire Ave, Santa Monica, California",June,6
1943,2013-06-09,Pennsylvania,York,600 block of West Princess Street,0,4,39.955,-76.7412,4,"600 block of West Princess Street, York, Pennsylvania",June,6
1942,2013-06-10,Illinois,Chicago,5700 block of South Sangamon Street,1,4,41.7904,-87.649,5,"5700 block of South Sangamon Street, Chicago, Illinois",June,6
1941,2013-06-10,Missouri,Saint Louis,4700 block of Highland Ave,0,6,38.6647,-90.2506,6,"4700 block of Highland Ave, Saint Louis, Missouri",June,6
1940,2013-06-14,North Carolina,High Point,2201 Little Avenue,0,5,35.9689,-79.9787,5,"2201 Little Avenue, High Point, North Carolina",June,6
1939,2013-06-15,Rhode Island,Providence,256 Hartford Ave,1,3,41.8173,-71.4516,4,"256 Hartford Ave, Providence, Rhode Island",June,6
1938,2013-06-15,Tennessee,Nashville,135 Brinkhaven Ave,0,4,36.1646,-86.7771,4,"135 Brinkhaven Ave, Nashville, Tennessee",June,6
1937,2013-06-15,Texas,Houston,9780 Bissonnet,1,3,29.6754,-95.5499,4,"9780 Bissonnet, Houston, Texas",June,6
1936,2013-06-16,Illinois,Chicago,900block of East 79th Street,1,3,41.7513,-87.6027,4,"900block of East 79th Street, Chicago, Illinois",June,6
1935,2013-06-21,Illinois,Chicago,2900 block of North Kilpatrick Avenue,1,3,41.9335,-87.7445,4,"2900 block of North Kilpatrick Avenue, Chicago, Illinois",June,6
1934,2013-06-21,Virginia,Norfolk,1225 Tidewater Drive,0,6,36.8571,-76.2735,6,"1225 Tidewater Drive, Norfolk, Virginia",June,6
1933,2013-06-21,North Carolina,Greenville,205 Greenville Blvd SW,0,5,35.5744,-77.3873,5,"205 Greenville Blvd SW, Greenville, North Carolina",June,6
1932,2013-06-22,Maryland,Baltimore,700 block of N. Kenwood Avenue,1,4,39.2991,-76.5783,5,"700 block of N. Kenwood Avenue, Baltimore, Maryland",June,6
1931,2013-06-22,Rhode Island,Providence,55 Curtis,0,4,41.8217,-71.4496,4,"55 Curtis, Providence, Rhode Island",June,6
1930,2013-06-23,Louisiana,New Orleans,5700 block of Wickfield Drive,0,4,30.0165,-90.0689,4,"5700 block of Wickfield Drive, New Orleans, Louisiana",June,6
1929,2013-06-23,Virginia,Virginia Beach,4600 block of Columbus Street,1,4,36.841,-76.1371,5,"4600 block of Columbus Street, Virginia Beach, Virginia",June,6
1928,2013-06-23,California,Sacramento,Sea Drift Way,1,3,38.4655,-121.459,4,"Sea Drift Way, Sacramento, California",June,6
1927,2013-06-23,Tennessee,Chattanooga,1501 Dodds Ave,1,4,35.0221,-85.2697,5,"1501 Dodds Ave, Chattanooga, Tennessee",June,6
1926,2013-06-23,Missouri,Kansas City,1917 Prospect Ave,1,8,39.0891,-94.5518,9,"1917 Prospect Ave, Kansas City, Missouri",June,6
1925,2013-06-24,Missouri,Kansas City,1711 Kansas Avenue,1,3,39.0914,-94.5484,4,"1711 Kansas Avenue, Kansas City, Missouri",June,6
1924,2013-06-25,Illinois,Chicago,73rd Street and King Drive,1,4,41.7621,-87.6152,5,"73rd Street and King Drive, Chicago, Illinois",June,6
1923,2013-06-27,California,Three Rivers,39553-39833 Sierra Dr,2,2,36.4144,-118.925,4,"39553-39833 Sierra Dr, Three Rivers, California",June,6
1922,2013-06-28,Illinois,Chicago,4800 block of North Sheridan Road,0,6,41.9691,-87.6548,6,"4800 block of North Sheridan Road, Chicago, Illinois",June,6
1921,2013-06-29,South Carolina,North Charleston,4400 Dorchester Road; Suite 115,3,1,32.8549,-80.0122,4,"4400 Dorchester Road; Suite 115, North Charleston, South Carolina",June,6
1920,2013-06-30,New York,Brooklyn,616 E. 52nd Street,0,9,40.6452,-73.928,9,"616 E. 52nd Street, Brooklyn, New York",June,6
1919,2013-06-30,Colorado,Aurora,2300 block of Paris St,0,4,39.7512,-104.848,4,"2300 block of Paris St, Aurora, Colorado",June,6
1918,2013-07-01,Texas,Fort Worth,2900 block of Pate Drive,4,0,32.7157,-97.2597,4,"2900 block of Pate Drive, Fort Worth, Texas",July,7
1917,2013-07-04,Illinois,Chicago,6000 block of South Cottage Grove Avenue,0,4,41.7858,-87.6061,4,"6000 block of South Cottage Grove Avenue, Chicago, Illinois",July,7
1916,2013-07-04,Michigan,Pontiac,441 N Perry St,1,6,42.6482,-83.2871,7,"441 N Perry St, Pontiac, Michigan",July,7
1915,2013-07-06,Alabama,Florence,West Mobile Street,0,4,34.7982,-87.6854,4,"West Mobile Street, Florence, Alabama",July,7
1914,2013-07-06,New York,Brooklyn,472 Marcy Avenue,1,3,40.6987,-73.95,4,"472 Marcy Avenue, Brooklyn, New York",July,7
1913,2013-07-07,California,Stockton,2600 block of Connecticut Avenue,1,4,37.9218,-121.298,5,"2600 block of Connecticut Avenue, Stockton, California",July,7
1912,2013-07-07,Florida,Pompano Beach,1600 block of Northwest 7th Lane,1,3,26.2489,-80.1352,4,"1600 block of Northwest 7th Lane, Pompano Beach, Florida",July,7
1911,2013-07-07,Illinois,Chicago,11300 block of South Forest Avenue,0,5,41.689,-87.6157,5,"11300 block of South Forest Avenue, Chicago, Illinois",July,7
1910,2013-07-07,Mississippi,Meridian,2500 block of 5th Street,0,4,32.3625,-88.7022,4,"2500 block of 5th Street, Meridian, Mississippi",July,7
1909,2013-07-09,Illinois,Rockford,600 block of Woodlawn Avenue,2,2,42.2783,-89.0953,4,"600 block of Woodlawn Avenue, Rockford, Illinois",July,7
1908,2013-07-09,Maryland,Baltimore,600 block of N. Carrollton Ave,0,4,39.2956,-76.6374,4,"600 block of N. Carrollton Ave, Baltimore, Maryland",July,7
1907,2013-07-11,North Carolina,Charlotte,6300 block of Reagan Drive,2,2,35.2837,-80.7742,4,"6300 block of Reagan Drive, Charlotte, North Carolina",July,7
1906,2013-07-12,California,San Francisco,3192 16th St,1,3,37.7649,-122.423,4,"3192 16th St, San Francisco, California",July,7
1905,2013-07-12,Kentucky,Greensburg,194 C Mays Rd,2,2,37.1948,-85.5219,4,"194 C Mays Rd, Greensburg, Kentucky",July,7
1904,2013-07-13,Ohio,Campbell,Seventh Street,0,4,41.0738,-80.5997,4,"Seventh Street, Campbell, Ohio",July,7
1903,2013-07-13,District of Columbia,Washington,2700 block of Stanton Road,0,4,38.8583,-76.9883,4,"2700 block of Stanton Road, Washington, District of Columbia",July,7
1902,2013-07-13,Oklahoma,Oklahoma City,5405 N. Lincoln Blvd,1,3,35.5263,-97.504,4,"5405 N. Lincoln Blvd, Oklahoma City, Oklahoma",July,7
1901,2013-07-13,New Jersey,Trenton (Hamilton Township),1100 block of Deutz Ave,1,4,40.1981,-74.7491,5,"1100 block of Deutz Ave, Trenton (Hamilton Township), New Jersey",July,7
1900,2013-07-14,Michigan,Grand Rapids (Kentwood),Farmview Ct SE,0,5,42.874,-85.6052,5,"Farmview Ct SE, Grand Rapids (Kentwood), Michigan",July,7
1899,2013-07-14,Kansas,Wichita,11th Street and Mead,1,4,37.7044,-97.3289,5,"11th Street and Mead, Wichita, Kansas",July,7
1898,2013-07-17,California,Oakland,3400 block of Wilson Avenue,1,3,37.7976,-122.212,4,"3400 block of Wilson Avenue, Oakland, California",July,7
1897,2013-07-19,California,Madera,Yosemite Avenue and Cleveland,0,4,36.9613,-120.061,4,"Yosemite Avenue and Cleveland, Madera, California",July,7
1896,2013-07-19,Connecticut,Hartford,3155 Main St,0,4,41.7957,-72.6635,4,"3155 Main St, Hartford, Connecticut",July,7
1895,2013-07-20,New York,Brooklyn,Grove Street,0,5,40.6962,-73.9178,5,"Grove Street, Brooklyn, New York",July,7
1894,2013-07-21,New York,Brooklyn,1445 Lincoln Place,0,4,40.6699,-73.9293,4,"1445 Lincoln Place, Brooklyn, New York",July,7
1893,2013-07-24,Kansas,Topeka,221 SE Lawrence St,0,4,39.0527,-95.6546,4,"221 SE Lawrence St, Topeka, Kansas",July,7
1892,2013-07-25,Michigan,Inkster,Oakwood Street,0,4,42.3031,-83.3301,4,"Oakwood Street, Inkster, Michigan",July,7
1891,2013-07-26,West Virginia,Clarksburg,743 Locust Avenue,4,0,39.2832,-80.3488,4,"743 Locust Avenue, Clarksburg, West Virginia",July,7
1890,2013-07-26,Florida,Hialeah,1485 W 46th St,7,0,25.864,-80.3122,7,"1485 W 46th St, Hialeah, Florida",July,7
1889,2013-07-28,Texas,Dallas,2400 block of Royal Lane,0,4,32.8958,-96.8986,4,"2400 block of Royal Lane, Dallas, Texas",July,7
1888,2013-07-29,Washington,Granger,300 block of S. Outlook Rd.,0,4,46.3421,-120.187,4,"300 block of S. Outlook Rd., Granger, Washington",July,7
1887,2013-07-30,New Mexico,Hobbs,2000 block of North Bensing Rd,0,4,32.7222,-103.179,4,"2000 block of North Bensing Rd, Hobbs, New Mexico",July,7
1886,2013-08-02,Indiana,Indianapolis,62nd and College Ave,0,4,39.8679,-86.1461,4,"62nd and College Ave, Indianapolis, Indiana",August,8
1885,2013-08-02,New Jersey,Newark,Livingston St. and 18th Avenue,2,3,40.7291,-74.1915,5,"Livingston St. and 18th Avenue, Newark, New Jersey",August,8
1884,2013-08-03,Michigan,Detroit,Murray Hill St,0,5,42.423,-83.2082,5,"Murray Hill St, Detroit, Michigan",August,8
1883,2013-08-04,California,Salinas,624 Williams Road,3,4,36.6799,-121.606,7,"624 Williams Road, Salinas, California",August,8
1882,2013-08-04,Missouri,Kansas City,2400 block of Park Avenue,1,3,39.083,-94.5557,4,"2400 block of Park Avenue, Kansas City, Missouri",August,8
1881,2013-08-06,Pennsylvania,Saylorsburg,1000 Ross Municipal Dr,3,4,40.8959,-75.323,7,"1000 Ross Municipal Dr, Saylorsburg, Pennsylvania",August,8
1880,2013-08-06,New Jersey,Montclair,Mission Street,0,4,40.8057,-74.2128,4,"Mission Street, Montclair, New Jersey",August,8
1879,2013-08-07,Texas,Dallas,7100 block of Long Canyon Trail,4,4,32.6412,-96.9481,8,"7100 block of Long Canyon Trail, Dallas, Texas",August,8
1878,2013-08-09,Missouri,Saint Louis,4200 block of Kossuth Ave,2,2,38.6706,-90.228,4,"4200 block of Kossuth Ave, Saint Louis, Missouri",August,8
1877,2013-08-10,Delaware,Wilmington,1200 block of Second Street,0,4,39.7435,-75.5641,4,"1200 block of Second Street, Wilmington, Delaware",August,8
1876,2013-08-11,New York,Brooklyn,395 East 48th Street,0,4,40.6524,-73.9321,4,"395 East 48th Street, Brooklyn, New York",August,8
1875,2013-08-11,Virginia,Portsmouth,1100 block of Mt. Vernon Ave,1,4,36.8364,-76.3361,5,"1100 block of Mt. Vernon Ave, Portsmouth, Virginia",August,8
1874,2013-08-13,Pennsylvania,Philadelphia,1100 block of Divinity Street,0,4,39.9439,-75.2195,4,"1100 block of Divinity Street, Philadelphia, Pennsylvania",August,8
1873,2013-08-14,Oklahoma,Oklahoma City,4601 SE 79,4,0,35.3867,-97.4356,4,"4601 SE 79, Oklahoma City, Oklahoma",August,8
1872,2013-08-17,California,San Francisco,1738 Telegraph Avenue,0,4,37.7767,-122.419,4,"1738 Telegraph Avenue, San Francisco, California",August,8
1871,2013-08-18,New Jersey,Port Norris,1600 block of North Avenue,0,4,39.2649,-75.024,4,"1600 block of North Avenue, Port Norris, New Jersey",August,8
1870,2013-08-18,Ohio,Toledo,2272 Scottwood Ave,0,4,41.6651,-83.5591,4,"2272 Scottwood Ave, Toledo, Ohio",August,8
1869,2013-08-18,South Carolina,Chesterfield,3217 Center Point Rd,1,4,34.7104,-80.1421,5,"3217 Center Point Rd, Chesterfield, South Carolina",August,8
1868,2013-08-18,Illinois,Chicago,100 block of South Springfield,1,3,41.8798,-87.7232,4,"100 block of South Springfield, Chicago, Illinois",August,8
1867,2013-08-19,Illinois,Chicago,1011 W. Wilson,1,4,41.9653,-87.6557,5,"1011 W. Wilson, Chicago, Illinois",August,8
1866,2013-08-20,Maryland,Baltimore,1200 block of S. Carey St,2,2,39.2806,-76.6354,4,"1200 block of S. Carey St, Baltimore, Maryland",August,8
1865,2013-08-25,South Carolina,Latta,214 Willis St,1,3,34.3305,-79.4333,4,"214 Willis St, Latta, South Carolina",August,8
1864,2013-08-25,Minnesota,Minneapolis,2600 block of Cedar and 2600 block of 18th Avenue South,2,2,44.9553,-93.2489,4,"2600 block of Cedar and 2600 block of 18th Avenue South, Minneapolis, Minnesota",August,8
1863,2013-08-25,Florida,Lake Butler,1050 Southeast 6th Street,4,1,30.0194,-82.3278,5,"1050 Southeast 6th Street, Lake Butler, Florida",August,8
1862,2013-08-25,California,Oakland,1300 block of 104th Avenue,0,4,37.7389,-122.169,4,"1300 block of 104th Avenue, Oakland, California",August,8
1861,2013-09-05,North Carolina,Charlotte,2500 block of Pinckney Avenue,0,4,35.2406,-80.8095,4,"2500 block of Pinckney Avenue, Charlotte, North Carolina",September,9
1860,2013-09-07,Missouri,Saint Louis,5000 block of Durant Ave,1,3,38.688,-90.2456,4,"5000 block of Durant Ave, Saint Louis, Missouri",September,9
1859,2013-09-07,Indiana,Gary,9300 block of Sunrise Boulevard,2,4,41.5971,-87.2256,6,"9300 block of Sunrise Boulevard, Gary, Indiana",September,9
1858,2013-09-10,Connecticut,Bridgeport,Reservoir Ave and Grandview Ave,1,4,41.2205,-73.1929,5,"Reservoir Ave and Grandview Ave, Bridgeport, Connecticut",September,9
1857,2013-09-11,New York,New York,204 Varick St,0,4,40.7283,-74.0048,4,"204 Varick St, New York, New York",September,9
1856,2013-09-12,District of Columbia,Washington,First Street and Pierce Street NW,1,3,38.9047,-77.0122,4,"First Street and Pierce Street NW, Washington, District of Columbia",September,9
1855,2013-09-14,North Carolina,Marion,80 Finley Road,0,4,35.6864,-82.0201,4,"80 Finley Road, Marion, North Carolina",September,9
1854,2013-09-15,Colorado,Colorado Springs,1609 South Nevada,0,5,38.8111,-104.822,5,"1609 South Nevada, Colorado Springs, Colorado",September,9
