,date,state,city_or_county,address,n_killed,n_injured,latitude,longitude,total,full_address,month_name,month_number
933,2016-02-16,California,Palmdale,38227 Meadow Lane,0,4,34.5774,-118.14,4,"38227 Meadow Lane, Palmdale, California",February,2
932,2016-02-18,Utah,Salt Lake City (South Salt Lake),325 E. Park Creek Lane,3,1,40.7046,-111.881,4,"325 E. Park Creek Lane, Salt Lake City (South Salt Lake), Utah",February,2
931,2016-02-19,California,Vallejo,509 Porter Street,1,3,38.0883,-122.245,4,"509 Porter Street, Vallejo, California",February,2
930,2016-02-19,Missouri,Edgerton,4100 block of Buena Vista Road,4,0,39.4922,-94.6372,4,"4100 block of Buena Vista Road, Edgerton, Missouri",February,2
929,2016-02-20,Mississippi,Iuka,231 Co Rd 201,2,3,34.7543,-88.1406,5,"231 Co Rd 201, Iuka, Mississippi",February,2
928,2016-02-20,Florida,Orlando,446 S Parramore Ave,0,4,28.537,-81.389,4,"446 S Parramore Ave, Orlando, Florida",February,2
927,2016-02-20,Alabama,Bessemer,200 block of Elm Street,1,3,33.3731,-86.9759,4,"200 block of Elm Street, Bessemer, Alabama",February,2
926,2016-02-20,Florida,Tampa,2810 E. Bearss Ave,1,3,28.0805,-82.4283,4,"2810 E. Bearss Ave, Tampa, Florida",February,2
925,2016-02-20,Michigan,Kalamazoo,5581 Cracker Barrel Blvd,6,2,42.2354,-85.676,8,"5581 Cracker Barrel Blvd, Kalamazoo, Michigan",February,2
924,2016-02-21,Missouri,Hazelwood,Interstate Highway 270 and North Lindbergh Boulevard,1,3,38.7736,-90.3626,4,"Interstate Highway 270 and North Lindbergh Boulevard, Hazelwood, Missouri",February,2
923,2016-02-21,Texas,Houston,5100 block of Idaho Street,0,5,29.6872,-95.3438,5,"5100 block of Idaho Street, Houston, Texas",February,2
922,2016-02-23,Arizona,Glendale,4812 West Sunnyside Ave,5,0,33.5927,-112.163,5,"4812 West Sunnyside Ave, Glendale, Arizona",February,2
921,2016-02-23,Florida,Daytona Beach,1042 Sheridan Road,0,4,29.2089,-81.0451,4,"1042 Sheridan Road, Daytona Beach, Florida",February,2
920,2016-02-24,Georgia,Atlanta,75 Poplar Street,0,4,33.7566,-84.3897,4,"75 Poplar Street, Atlanta, Georgia",February,2
919,2016-02-24,Colorado,Bailey,36 Iris Drive,2,2,39.4471,-105.475,4,"36 Iris Drive, Bailey, Colorado",February,2
918,2016-02-25,Kansas,Hesston,200 S Ridge Rd,4,14,38.1368,-97.4268,18,"200 S Ridge Rd, Hesston, Kansas",February,2
917,2016-02-26,Washington,Belfair,300 block of Horseshoe Rd.,5,0,47.5033,-122.931,5,"300 block of Horseshoe Rd., Belfair, Washington",February,2
916,2016-02-27,Virginia,Woodbridge (Lake Ridge),13051 Lashmere Ct,2,2,38.6697,-77.3524,4,"13051 Lashmere Ct, Woodbridge (Lake Ridge), Virginia",February,2
915,2016-02-28,Michigan,Detroit,8800 block of Livernois,0,5,42.3594,-83.1384,5,"8800 block of Livernois, Detroit, Michigan",February,2
914,2016-02-28,California,Riverside (Jurupa Valley),5500 block of Etiwanda Avenue,1,3,33.9882,-117.523,4,"5500 block of Etiwanda Avenue, Riverside (Jurupa Valley), California",February,2
913,2016-03-01,Florida,Fort Pierce,6545 North US Highway 1,1,4,27.5506,-80.3695,5,"6545 North US Highway 1, Fort Pierce, Florida",March,3
